Domain,Problem,Planner,solved,cost,length,expanded,time
parking-sat14-strips,p_38_3,solver_1,True,101.0,101.0,1792.0,9.44025
parking-sat14-strips,p_36_3,solver_1,True,95.0,95.0,2141.0,7.678449
parking-sat14-strips,p_32_2,solver_1,True,78.0,78.0,716.0,2.493052
elevators-sat11-strips,p06,solver_1,True,952.0,186.0,4054.0,0.616077
elevators-sat11-strips,p14,solver_1,True,1288.0,285.0,13827.0,5.057922
elevators-sat11-strips,p13,solver_1,True,1522.0,301.0,13543.0,4.81263
elevators-sat11-strips,p17,solver_1,True,1441.0,296.0,21601.0,8.822444
elevators-sat11-strips,p01,solver_1,True,346.0,80.0,658.0,0.043333
elevators-sat11-strips,p20,solver_1,True,1755.0,361.0,19631.0,10.666634
elevators-sat11-strips,p09,solver_1,True,1121.0,203.0,6434.0,1.092513
elevators-sat11-strips,p08,solver_1,True,869.0,188.0,4804.0,0.775269
elevators-sat11-strips,p05,solver_1,True,497.0,118.0,1304.0,0.100056
elevators-sat11-strips,p04,solver_1,True,569.0,110.0,1304.0,0.113014
elevators-sat11-strips,p03,solver_1,True,893.0,149.0,2818.0,0.403718
elevators-sat11-strips,p07,solver_1,True,1048.0,173.0,4000.0,0.47543
elevators-sat11-strips,p16,solver_1,True,1398.0,261.0,12572.0,4.63706
elevators-sat11-strips,p19,solver_1,True,2507.0,380.0,75420.0,36.556871
elevators-sat11-strips,p18,solver_1,True,1749.0,313.0,16470.0,7.661953
elevators-sat11-strips,p02,solver_1,True,985.0,146.0,3685.0,0.388615
elevators-sat11-strips,p10,solver_1,True,1053.0,207.0,3990.0,0.805203
elevators-sat11-strips,p12,solver_1,True,1014.0,253.0,9094.0,3.13462
elevators-sat11-strips,p15,solver_1,True,1227.0,288.0,15189.0,6.000525
elevators-sat11-strips,p11,solver_1,True,1366.0,254.0,12947.0,4.02498
tidybot-sat11-strips,p06,solver_1,True,113.0,113.0,4015.0,3.554018
tidybot-sat11-strips,p14,solver_1,True,62.0,62.0,493.0,2.105421
tidybot-sat11-strips,p13,solver_1,True,103.0,103.0,1628.0,3.255911
tidybot-sat11-strips,p17,solver_1,True,47.0,47.0,456.0,3.513473
tidybot-sat11-strips,p01,solver_1,True,91.0,91.0,691.0,1.37893
tidybot-sat11-strips,p20,solver_1,False,,,,
tidybot-sat11-strips,p09,solver_1,True,39.0,39.0,190.0,1.829187
tidybot-sat11-strips,p08,solver_1,True,28.0,28.0,90.0,0.968355
tidybot-sat11-strips,p05,solver_1,True,64.0,64.0,1799.0,1.796505
tidybot-sat11-strips,p04,solver_1,True,24.0,24.0,95.0,0.923594
tidybot-sat11-strips,p03,solver_1,True,47.0,47.0,191.0,1.057281
tidybot-sat11-strips,p07,solver_1,True,49.0,49.0,318.0,1.05732
tidybot-sat11-strips,p16,solver_1,True,86.0,86.0,1002.0,2.724925
tidybot-sat11-strips,p19,solver_1,True,269.0,269.0,37892.0,208.526912
tidybot-sat11-strips,p18,solver_1,False,,,,
tidybot-sat11-strips,p02,solver_1,True,74.0,74.0,740.0,1.364866
tidybot-sat11-strips,p10,solver_1,True,88.0,88.0,497.0,2.114788
tidybot-sat11-strips,p12,solver_1,False,,,,
tidybot-sat11-strips,p15,solver_1,True,61.0,61.0,744.0,2.394948
tidybot-sat11-strips,p11,solver_1,True,86.0,86.0,4989.0,6.407739
thoughtful-sat14-strips,bootstrap-typed-04,solver_1,True,27.0,27.0,53.0,0.015734
